Area,Locality,Age,Crime ratio,Nitrogen/CO2 percentage,Adult to Children ratio,Earthquake zone,Government projects,Natural calamities,Rental / Monthly commercial income,ROI,Trend of property cost,Reputation of property developer,Current pricing,Scalable property
6459,Urban Area H,28,0.85,89.89,9.29,Low risk zone,Expansion of public transportation system,FALSE,8018.24,68.66,Increasing,Good,514029.96,FALSE
2477,Coastal Area J,23,0.37,64.55,1.25,Low risk zone,Construction of new schools,TRUE,3485.18,9,Increasing,Good,899039.72,TRUE
9444,Town B,6,0.63,48.34,1.21,High risk zone,Expansion of public transportation system,FALSE,8756.11,48.34,Decreasing,Average,674278.59,FALSE
2072,Urban Area H,47,0.78,69.91,5.3,Moderate risk zone,Construction of new schools,FALSE,7094.09,91.76,Increasing,Good,691210.26,FALSE
2509,Suburb D,11,0.68,34.82,0.15,Moderate risk zone,Construction of new schools,FALSE,5569.69,35.17,Decreasing,Excellent,148353.62,TRUE
7160,Town B,41,0.79,28.55,9.48,Low risk zone,Expansion of public transportation system,TRUE,2949.6,6.81,Stable,Excellent,249827.27,TRUE
8736,Neighborhood F,10,0.21,44.43,9.74,High risk zone,Infrastructure development in rural areas,TRUE,1082.24,84.81,Decreasing,Excellent,900918.63,TRUE
5476,Village C,25,0.78,11.83,1.71,Low risk zone,Renovation of public parks,FALSE,2002.32,78.62,Decreasing,Terrible,138635.63,TRUE
2177,Urban Area H,32,0.52,25.37,0.92,Moderate risk zone,Construction of new schools,FALSE,8259.46,46.82,Increasing,Poor,717416.8,TRUE
8416,Countryside I,21,0.56,74.62,2.8,Low risk zone,Expansion of public transportation system,FALSE,2389.25,63.76,Decreasing,Excellent,902230.24,TRUE
1667,Urban Area H,1,0.84,48.48,6.87,Moderate risk zone,Construction of new schools,TRUE,4771.03,2.86,Increasing,Average,811910.01,TRUE
7254,Rural Area G,19,0.52,77.66,4,Low risk zone,Infrastructure development in rural areas,FALSE,503.23,48.44,Decreasing,Poor,495565.04,FALSE
3812,Suburb D,13,0.35,65.23,5.11,High risk zone,Infrastructure development in rural areas,TRUE,3305.89,1.11,Decreasing,Poor,511294.31,FALSE
1462,Urban Area H,27,0.9,74.29,5.41,High risk zone,Renovation of public parks,TRUE,4623.25,42.67,Decreasing,Average,73812.31,TRUE
8720,Countryside I,12,0.18,21.04,0.89,Moderate risk zone,Expansion of public transportation system,FALSE,1200.46,25.52,Decreasing,Good,489374.85,FALSE
3596,Urban Area H,36,0.86,72.73,3.61,High risk zone,Construction of new schools,TRUE,1550.83,66.11,Increasing,Terrible,636742.31,TRUE
9698,Coastal Area J,24,0.85,26.14,1.55,Moderate risk zone,Renovation of public parks,FALSE,9605.7,19.6,Stable,Average,236061.94,FALSE
2400,Rural Area G,17,0.28,47.64,4.02,Moderate risk zone,Expansion of public transportation system,TRUE,5978.2,22.48,Decreasing,Terrible,865958.98,TRUE
9564,Rural Area G,1,0.82,1.41,8.82,Low risk zone,Infrastructure development in rural areas,TRUE,5703.03,98.61,Stable,Average,560199.01,FALSE
3921,Suburb D,16,0.93,18.42,3.99,Moderate risk zone,Expansion of public transportation system,TRUE,5493.36,35.93,Increasing,Excellent,225373.4,TRUE
1153,Neighborhood F,17,0.74,78.69,6.88,Low risk zone,Renovation of public parks,TRUE,479.5,40.02,Increasing,Average,557798.65,TRUE
1911,Neighborhood F,34,0.02,14.27,3.95,Low risk zone,Expansion of public transportation system,TRUE,186.93,86.6,Decreasing,Terrible,475241.82,TRUE
9100,City A,38,0.25,74.15,9.34,Moderate risk zone,Expansion of public transportation system,TRUE,1231.82,47.98,Stable,Good,718148.23,TRUE
2849,Countryside I,5,0.56,48.14,4.56,Moderate risk zone,Construction of new schools,FALSE,8796.15,58.35,Increasing,Excellent,315538.39,TRUE
8692,Village C,31,0.16,34.49,6.26,Moderate risk zone,Infrastructure development in rural areas,FALSE,844.16,54.48,Stable,Good,312428.15,FALSE
6427,Hamlet E,19,0.34,67.72,2.57,Moderate risk zone,Renovation of public parks,FALSE,3690.28,59.06,Decreasing,Excellent,826776.78,TRUE
4138,Coastal Area J,32,0.8,59.92,3.14,High risk zone,Construction of new schools,FALSE,9722.42,71.44,Increasing,Terrible,622803.09,FALSE
5219,City A,47,0.91,49.76,1.93,High risk zone,Expansion of public transportation system,TRUE,3037.64,85.6,Stable,Excellent,544418.22,TRUE
1065,Suburb D,35,0.53,43.72,1.74,Moderate risk zone,Infrastructure development in rural areas,TRUE,7605.41,51.81,Stable,Good,70506.81,FALSE
5773,Suburb D,30,0.11,99.04,2.86,Low risk zone,Construction of new schools,FALSE,8216.89,83.91,Stable,Poor,948550.66,TRUE
1318,Town B,39,0.1,19.85,7.24,High risk zone,Renovation of public parks,TRUE,7958.6,52.03,Stable,Excellent,891542.1,TRUE
4074,Suburb D,48,0.42,45.76,1.02,Low risk zone,Infrastructure development in rural areas,TRUE,5096.65,56.32,Stable,Good,29835.9,TRUE
4777,Town B,19,0.7,98.68,8.17,Moderate risk zone,Expansion of public transportation system,TRUE,9246.75,23.98,Stable,Good,347887.48,FALSE
4455,Rural Area G,36,0.66,77.69,9.19,Low risk zone,Construction of new schools,FALSE,423.3,91,Decreasing,Poor,795886.45,TRUE
1589,Neighborhood F,48,0.8,84.97,9.76,High risk zone,Construction of new schools,FALSE,7250.2,40.92,Increasing,Average,924023.07,TRUE
8321,Countryside I,9,0.27,58.94,1.95,Low risk zone,Expansion of public transportation system,FALSE,8331.42,56.15,Stable,Excellent,923434.95,TRUE
2139,Rural Area G,33,0.11,30.13,4.08,Low risk zone,Renovation of public parks,TRUE,173.75,20.23,Increasing,Poor,801734.58,TRUE
2759,Suburb D,18,0.78,68.45,4.27,Low risk zone,Expansion of public transportation system,TRUE,3609.89,1.08,Decreasing,Average,247383.59,TRUE
9774,Village C,8,0.7,87.11,4.55,Moderate risk zone,Expansion of public transportation system,FALSE,2783.81,40.99,Stable,Average,485016.45,FALSE
9014,Countryside I,42,0.44,90.08,8.7,Moderate risk zone,Expansion of public transportation system,TRUE,3356.08,36.12,Increasing,Terrible,580417.38,FALSE
2341,Coastal Area J,32,0.37,33.04,1.15,Moderate risk zone,Expansion of public transportation system,FALSE,2607.49,70.98,Increasing,Average,548221.58,FALSE
1344,Village C,8,0.28,92.56,3.21,Low risk zone,Expansion of public transportation system,TRUE,8658.04,13.25,Increasing,Excellent,487750.75,FALSE
1092,Coastal Area J,38,0.41,91.94,1.21,Moderate risk zone,Expansion of public transportation system,FALSE,1690.91,74.01,Decreasing,Average,375812.68,FALSE
7114,Hamlet E,5,0.67,91.85,5.21,High risk zone,Renovation of public parks,TRUE,5747.31,92.58,Decreasing,Excellent,332330.7,TRUE
8405,City A,22,0.23,60.8,3.19,Moderate risk zone,Infrastructure development in rural areas,TRUE,8958.54,11.34,Stable,Average,656933.24,TRUE
7103,Rural Area G,2,0.46,81.47,5.11,Moderate risk zone,Renovation of public parks,TRUE,3976.17,88.99,Increasing,Terrible,952457.19,FALSE
2977,Village C,50,0.94,69.2,2.07,Moderate risk zone,Expansion of public transportation system,FALSE,1999.6,83.01,Stable,Good,545289.19,TRUE
2159,Rural Area G,35,0.37,28.08,1.32,High risk zone,Expansion of public transportation system,TRUE,8615.2,7.91,Increasing,Poor,466007.33,FALSE
6903,Town B,37,0.78,11.18,3.32,Moderate risk zone,Construction of new schools,TRUE,2372.15,45.87,Stable,Average,668090.56,FALSE
3555,Town B,49,0.74,78.82,8.4,Moderate risk zone,Renovation of public parks,TRUE,8838.73,48.5,Increasing,Good,189002.6,TRUE
9982,Urban Area H,37,0.75,64.1,5.52,Moderate risk zone,Infrastructure development in rural areas,TRUE,1701.1,66.52,Stable,Average,358440.53,TRUE
4951,City A,15,0.82,59.42,5.06,Low risk zone,Construction of new schools,TRUE,6333.46,92.14,Stable,Good,92500.75,TRUE
8076,Rural Area G,1,0.6,33.63,4.81,Moderate risk zone,Expansion of public transportation system,TRUE,2194.4,8.42,Stable,Terrible,866303.61,TRUE
3892,Countryside I,1,0.79,9.64,7.47,High risk zone,Expansion of public transportation system,FALSE,9115.48,10.7,Decreasing,Excellent,854497.46,FALSE
2452,Urban Area H,18,0.3,59.21,8.43,High risk zone,Renovation of public parks,TRUE,2227.72,5.05,Stable,Terrible,655749.31,FALSE
8761,Urban Area H,16,0.81,82.85,6.04,Low risk zone,Renovation of public parks,FALSE,3293.02,55.34,Decreasing,Excellent,643316.05,TRUE
1949,Village C,21,0.24,78.71,1.83,High risk zone,Infrastructure development in rural areas,TRUE,3051.72,43.55,Decreasing,Average,728106.13,FALSE
5443,City A,5,0.07,87.91,9.47,Moderate risk zone,Infrastructure development in rural areas,TRUE,3425.97,35.15,Increasing,Good,889586.44,FALSE
7592,Coastal Area J,21,0.34,95.23,2.13,High risk zone,Expansion of public transportation system,FALSE,958.53,63.45,Stable,Terrible,852833.08,TRUE
9216,Hamlet E,35,0.26,13.75,0.56,High risk zone,Expansion of public transportation system,TRUE,9333.18,83.23,Increasing,Excellent,681652.3,TRUE
6843,City A,14,0.98,69.95,5.05,Low risk zone,Expansion of public transportation system,FALSE,886.64,67.67,Stable,Terrible,262188.89,TRUE
3513,Hamlet E,17,0.96,56.82,9.22,High risk zone,Infrastructure development in rural areas,FALSE,5705.4,21.62,Decreasing,Terrible,273710.79,FALSE
9764,Town B,32,0.85,42.64,0.8,Moderate risk zone,Renovation of public parks,FALSE,5222.61,4.57,Stable,Terrible,633593.94,TRUE
3389,Coastal Area J,48,0.42,97.77,8.57,Moderate risk zone,Construction of new schools,TRUE,2784.85,60.81,Decreasing,Average,284822.32,TRUE
6236,Town B,33,0.44,68.56,9.84,High risk zone,Renovation of public parks,TRUE,7765.76,87.06,Decreasing,Good,325287.4,TRUE
6114,Hamlet E,25,0.24,41.62,5.58,Low risk zone,Renovation of public parks,TRUE,2412.85,80.22,Increasing,Excellent,769364.13,FALSE
6137,Coastal Area J,46,0.54,73.7,5.16,Moderate risk zone,Renovation of public parks,FALSE,8591.43,8.62,Increasing,Poor,785838.18,TRUE
3735,City A,37,0.04,4.41,9.9,Low risk zone,Renovation of public parks,TRUE,5441.36,17.06,Stable,Excellent,544492.44,FALSE
1901,Countryside I,45,0.33,54.29,0.89,Moderate risk zone,Renovation of public parks,FALSE,6651.39,58.54,Stable,Excellent,37705.8,TRUE
3710,Town B,36,0.61,40.59,4.75,Moderate risk zone,Infrastructure development in rural areas,FALSE,3844.82,8.15,Decreasing,Good,839210.16,FALSE
9220,City A,1,0.55,5.52,8.16,High risk zone,Construction of new schools,FALSE,9377.12,17.44,Stable,Poor,980879.51,TRUE
3457,Town B,8,0.09,57.49,9.01,Moderate risk zone,Expansion of public transportation system,TRUE,9869.35,11.87,Increasing,Excellent,520392.81,TRUE
4707,City A,17,0.1,74.76,2.62,Low risk zone,Renovation of public parks,TRUE,786.39,80.37,Decreasing,Excellent,279271.06,TRUE
7960,Hamlet E,11,0.19,62.2,7.37,Moderate risk zone,Infrastructure development in rural areas,FALSE,2421.4,60.95,Stable,Poor,499125.66,FALSE
1645,Town B,42,0.43,24.73,8.66,High risk zone,Infrastructure development in rural areas,FALSE,7256.29,57.56,Decreasing,Excellent,148501.95,FALSE
6005,Suburb D,32,0.67,60.55,0.4,High risk zone,Expansion of public transportation system,TRUE,40.37,30.74,Decreasing,Good,317768.92,FALSE
8791,Hamlet E,42,0.73,38.94,6.23,High risk zone,Expansion of public transportation system,TRUE,25.76,71.4,Decreasing,Poor,480173.3,FALSE
2156,Town B,33,0.96,99.37,9.91,Low risk zone,Infrastructure development in rural areas,FALSE,8673.29,13.02,Stable,Average,309345.61,TRUE
6217,Village C,3,0.9,36.53,6.84,Moderate risk zone,Infrastructure development in rural areas,TRUE,7447.77,59.39,Increasing,Excellent,355022.74,TRUE
8758,Urban Area H,16,0.02,72.61,4.21,High risk zone,Renovation of public parks,TRUE,3834.63,60.03,Increasing,Terrible,677994.39,FALSE
2542,Countryside I,2,0.8,0.18,8.75,High risk zone,Renovation of public parks,TRUE,1969.15,12.02,Increasing,Average,945329.56,TRUE
8587,Urban Area H,47,0.35,49.34,5.4,High risk zone,Expansion of public transportation system,FALSE,7838.06,14.86,Decreasing,Good,524501.37,FALSE
2214,Urban Area H,5,0.5,90.34,5.2,Moderate risk zone,Expansion of public transportation system,FALSE,816.03,42.57,Decreasing,Good,781607.79,FALSE
9533,Urban Area H,40,0.21,49.52,3.95,High risk zone,Infrastructure development in rural areas,FALSE,8497.7,16.89,Decreasing,Excellent,341789.99,TRUE
6964,Suburb D,39,0.4,49,5.73,Moderate risk zone,Construction of new schools,FALSE,2090.76,19.79,Stable,Terrible,570959.17,FALSE
2124,Town B,27,0.76,51.83,4.86,Moderate risk zone,Infrastructure development in rural areas,FALSE,5921.53,81.18,Stable,Good,676909.2,FALSE
4339,Hamlet E,4,0.56,86.87,6.15,Moderate risk zone,Renovation of public parks,FALSE,362.88,18.65,Increasing,Good,305817.87,FALSE
8618,Coastal Area J,40,0.75,53.37,7.79,Low risk zone,Expansion of public transportation system,TRUE,7649.95,50.33,Decreasing,Excellent,298921.37,TRUE
8380,Rural Area G,12,0.36,77.21,8.63,Low risk zone,Construction of new schools,TRUE,1299.23,85.89,Increasing,Average,626076.89,TRUE
8703,Neighborhood F,17,0.96,5.35,1.98,Low risk zone,Renovation of public parks,FALSE,2347.37,3.93,Stable,Good,472723.45,TRUE
6849,City A,11,0.26,87.2,1.93,Moderate risk zone,Infrastructure development in rural areas,TRUE,1007.44,21.95,Decreasing,Poor,410155.08,TRUE
7246,Neighborhood F,25,0.18,29.22,7.41,Low risk zone,Infrastructure development in rural areas,FALSE,7898.63,66.47,Increasing,Terrible,607135.71,FALSE
7736,Village C,24,0.02,59.05,6.24,High risk zone,Construction of new schools,FALSE,2603.58,29.68,Decreasing,Average,369302.73,FALSE
9163,Rural Area G,36,0.98,70.39,4.34,Low risk zone,Infrastructure development in rural areas,TRUE,3177.96,56.6,Stable,Average,571666.87,TRUE
4513,Suburb D,38,0.66,42.4,8.58,High risk zone,Renovation of public parks,FALSE,6126.19,68.81,Decreasing,Average,415733.68,TRUE
5391,Suburb D,20,0.81,3.69,6.83,Low risk zone,Construction of new schools,FALSE,4020.74,27.89,Stable,Good,435526.77,TRUE
2056,Village C,11,0.71,73.22,2.76,High risk zone,Expansion of public transportation system,TRUE,9568.2,96.3,Stable,Good,828837.98,FALSE
8878,Suburb D,9,0.88,73.38,2.35,Low risk zone,Infrastructure development in rural areas,TRUE,5742.13,14.3,Stable,Terrible,299248.64,FALSE
9878,Suburb D,26,0.48,29.39,6.98,High risk zone,Infrastructure development in rural areas,FALSE,1684.78,24.18,Increasing,Terrible,520721.84,TRUE
7561,Suburb D,36,0.35,50.9,4.34,High risk zone,Infrastructure development in rural areas,TRUE,6100.6,33.97,Decreasing,Terrible,691266.42,TRUE
7901,Neighborhood F,39,0.3,57.81,6.62,Low risk zone,Renovation of public parks,TRUE,1292.88,22.46,Increasing,Poor,421290.31,FALSE
5730,Coastal Area J,14,0.41,98.91,4.65,Moderate risk zone,Infrastructure development in rural areas,FALSE,8321.05,7.61,Increasing,Poor,463877.69,FALSE
3029,Town B,11,0.31,74.66,2.61,High risk zone,Construction of new schools,FALSE,8330.85,89.98,Stable,Poor,603704.27,FALSE
5762,Suburb D,30,0.97,80.73,3.17,High risk zone,Construction of new schools,TRUE,6451.13,66.21,Decreasing,Average,53348.72,FALSE
3793,Neighborhood F,16,0.69,7.64,5.12,Low risk zone,Expansion of public transportation system,FALSE,1791.64,67.09,Decreasing,Poor,307194.39,TRUE
4190,Neighborhood F,16,0.54,1,7.93,High risk zone,Expansion of public transportation system,TRUE,5315.32,80.92,Decreasing,Terrible,774467.1,FALSE
8434,Village C,20,0.03,13.95,5.48,Low risk zone,Infrastructure development in rural areas,FALSE,5414.15,53.83,Decreasing,Terrible,872012.07,FALSE
3612,City A,12,0.48,83.21,3.84,Low risk zone,Renovation of public parks,TRUE,7025.58,83.29,Increasing,Poor,94761.52,TRUE
2444,Neighborhood F,1,0.88,83.3,1.03,High risk zone,Infrastructure development in rural areas,TRUE,4910.43,80.18,Increasing,Poor,265566.04,TRUE
3198,City A,18,0.27,57.44,6.35,Low risk zone,Renovation of public parks,FALSE,7784.86,47.77,Decreasing,Poor,336609.28,TRUE
3835,Urban Area H,34,0.45,28.29,3.56,High risk zone,Renovation of public parks,FALSE,2579.08,1.08,Stable,Average,912710.88,TRUE
5061,Countryside I,28,0.12,10.56,7.3,High risk zone,Expansion of public transportation system,TRUE,9921.2,82.41,Stable,Poor,618097.95,FALSE
5450,Hamlet E,13,0.38,22.82,2.71,High risk zone,Renovation of public parks,FALSE,2716.03,66.69,Stable,Poor,612268.28,TRUE
6684,City A,50,0.21,29.84,6.98,High risk zone,Renovation of public parks,FALSE,4276.64,79.91,Stable,Poor,941848.27,FALSE
8767,Neighborhood F,49,0.56,15.06,6.87,High risk zone,Construction of new schools,FALSE,3658.95,2.54,Increasing,Terrible,861926.04,FALSE
4642,Urban Area H,14,0.34,29.5,4.73,High risk zone,Renovation of public parks,FALSE,7068.46,79.02,Stable,Poor,986906.11,TRUE
8830,Coastal Area J,15,0.97,34.46,3.97,High risk zone,Renovation of public parks,FALSE,9770.74,73.05,Increasing,Excellent,76343.1,TRUE
5502,City A,30,0.54,62.81,6.76,Low risk zone,Construction of new schools,TRUE,1669.7,45.54,Increasing,Excellent,349915.13,TRUE
3874,City A,44,0.4,81.32,2.95,High risk zone,Expansion of public transportation system,FALSE,4391.1,38.62,Decreasing,Terrible,870133.3,TRUE
4784,Urban Area H,46,0.18,25.42,6.68,Moderate risk zone,Infrastructure development in rural areas,FALSE,2379.62,72.07,Stable,Good,335789.84,FALSE
2644,Hamlet E,32,0.37,87.86,7.76,Low risk zone,Infrastructure development in rural areas,TRUE,4601.87,24.15,Stable,Poor,88213.31,TRUE
1068,Countryside I,21,0.55,88.97,2.32,Moderate risk zone,Construction of new schools,TRUE,786.28,90.68,Increasing,Terrible,442689.02,TRUE
4434,City A,40,0.16,81.31,0.06,Moderate risk zone,Construction of new schools,TRUE,5795.63,47.79,Stable,Poor,902774.07,TRUE
6319,Hamlet E,12,0.26,74.77,8,Moderate risk zone,Construction of new schools,TRUE,2546.07,9.11,Stable,Poor,113072.67,TRUE
1931,City A,37,0.62,57.76,9.85,Low risk zone,Infrastructure development in rural areas,TRUE,2329.97,41.53,Decreasing,Excellent,342754.94,TRUE
2391,City A,14,0.56,14.87,1.91,Low risk zone,Infrastructure development in rural areas,FALSE,3567.02,92.51,Decreasing,Excellent,637916.71,FALSE
3138,Hamlet E,47,0.25,8.46,2.84,High risk zone,Construction of new schools,FALSE,9316.15,31.78,Decreasing,Terrible,193936.88,TRUE
4741,Countryside I,15,0.95,44.48,5.01,Moderate risk zone,Renovation of public parks,TRUE,9735.84,45.57,Decreasing,Excellent,125460.94,FALSE
2427,Hamlet E,8,0.65,9.86,9.01,Moderate risk zone,Renovation of public parks,TRUE,1675.7,42.42,Decreasing,Good,279514.33,TRUE
3571,Suburb D,28,0.5,0.04,2.4,Low risk zone,Expansion of public transportation system,TRUE,2037.93,80.02,Decreasing,Excellent,293089.98,FALSE
9305,Town B,8,0.52,27.95,2.81,Moderate risk zone,Expansion of public transportation system,TRUE,4898.53,95.69,Decreasing,Good,969969.07,FALSE
9888,Coastal Area J,38,0.34,32.11,8.58,Moderate risk zone,Construction of new schools,TRUE,9905.26,78.58,Decreasing,Terrible,85563.44,TRUE
1314,Town B,43,0.65,0.04,1.6,High risk zone,Expansion of public transportation system,FALSE,1268.7,20.58,Decreasing,Excellent,48396.65,FALSE
3831,Suburb D,24,0.04,98.58,1.05,Moderate risk zone,Infrastructure development in rural areas,TRUE,4093.54,87.7,Stable,Average,975365.45,TRUE
2152,Hamlet E,20,0.93,7.89,9.61,Moderate risk zone,Expansion of public transportation system,TRUE,4955.8,92.69,Decreasing,Terrible,328964.45,TRUE
5143,Coastal Area J,30,0.15,34.34,5.58,Low risk zone,Renovation of public parks,FALSE,6661.7,25.83,Decreasing,Poor,976001,FALSE
1913,Town B,38,0.26,92.52,4.36,Moderate risk zone,Expansion of public transportation system,TRUE,4077.12,55.35,Increasing,Terrible,18551.45,FALSE
6278,Town B,5,0.62,44.04,9.73,High risk zone,Expansion of public transportation system,FALSE,7780.59,44.82,Stable,Excellent,299203.41,TRUE
2966,Neighborhood F,20,0.62,96.36,4,Low risk zone,Renovation of public parks,FALSE,9330.02,63.75,Decreasing,Excellent,889669.62,TRUE
2381,Village C,30,0.6,68.63,3.61,Low risk zone,Expansion of public transportation system,FALSE,5181.78,21.79,Decreasing,Average,455921.25,FALSE
2453,Coastal Area J,27,0.39,37.98,5.26,High risk zone,Construction of new schools,TRUE,9274.53,91.75,Increasing,Poor,85756.36,TRUE
9946,Neighborhood F,37,0.76,46.61,8.66,High risk zone,Renovation of public parks,FALSE,322.25,21.38,Increasing,Average,115482.95,FALSE
5503,Town B,33,0.79,82.93,1.71,High risk zone,Infrastructure development in rural areas,FALSE,5149.95,75.12,Stable,Average,678598.02,FALSE
2729,Coastal Area J,21,0.58,51.72,1.43,Low risk zone,Renovation of public parks,FALSE,1189.26,21.74,Stable,Poor,156809.12,FALSE
9091,Town B,45,0.51,52.14,6.75,High risk zone,Infrastructure development in rural areas,TRUE,5180.6,38.16,Increasing,Good,462214.75,TRUE
5933,Coastal Area J,2,0.91,67.99,1.74,Low risk zone,Expansion of public transportation system,FALSE,3875.61,28.66,Increasing,Terrible,987466.72,FALSE
1992,Hamlet E,48,0.47,39.78,3.64,Low risk zone,Renovation of public parks,TRUE,1834.5,28.52,Stable,Poor,781832.01,FALSE
1443,Suburb D,27,0.9,69.87,9.92,Low risk zone,Renovation of public parks,TRUE,9350.67,33.51,Decreasing,Terrible,340502.67,TRUE
6783,City A,19,0.82,49.42,5.37,Low risk zone,Expansion of public transportation system,FALSE,9002.76,48.56,Increasing,Excellent,513767.81,TRUE
2656,City A,12,0.02,76.03,1.79,Moderate risk zone,Expansion of public transportation system,FALSE,5477.91,14.51,Decreasing,Terrible,457259.78,TRUE
9361,Countryside I,16,0.79,2.01,4.14,High risk zone,Construction of new schools,FALSE,8801.9,8.62,Decreasing,Good,989486.17,FALSE
3750,Urban Area H,27,0.56,62.3,4.47,Low risk zone,Infrastructure development in rural areas,FALSE,9436.33,49.13,Increasing,Excellent,378422.32,FALSE
4171,City A,16,0.24,36.21,8.57,High risk zone,Infrastructure development in rural areas,TRUE,2753.03,56.38,Stable,Average,673866.97,FALSE
9768,Countryside I,3,0.33,70.34,0.49,Low risk zone,Expansion of public transportation system,FALSE,1831.61,50.99,Increasing,Good,869333.23,FALSE
4233,Suburb D,31,0.18,0.11,1.26,Low risk zone,Expansion of public transportation system,TRUE,7051.42,74.02,Increasing,Good,205822.7,FALSE
3673,Village C,16,0.23,62.29,4.09,Low risk zone,Construction of new schools,FALSE,7501.34,3.87,Decreasing,Poor,442531.11,TRUE
3366,City A,25,0.97,46.13,2.83,High risk zone,Renovation of public parks,TRUE,8448.77,13.67,Decreasing,Poor,561515.6,FALSE
2320,Neighborhood F,47,0.73,42.84,4.04,Moderate risk zone,Construction of new schools,FALSE,6980.87,78.43,Increasing,Average,429995.75,FALSE
3084,Hamlet E,38,0.75,48.54,6.47,High risk zone,Construction of new schools,TRUE,127,93.4,Increasing,Terrible,165701.39,FALSE
3818,Suburb D,24,0.5,66.92,2.97,High risk zone,Renovation of public parks,FALSE,881.56,33.69,Stable,Good,938710.55,TRUE
3813,Countryside I,50,0.86,90.73,6.51,Moderate risk zone,Infrastructure development in rural areas,TRUE,7839.82,21.34,Decreasing,Good,29529.27,FALSE
9924,Neighborhood F,7,0.41,18.86,1.46,Moderate risk zone,Infrastructure development in rural areas,FALSE,3298.73,82.73,Increasing,Poor,748405.45,FALSE
8661,Coastal Area J,35,0.66,73.26,7.95,High risk zone,Expansion of public transportation system,FALSE,682.8,36.09,Increasing,Terrible,96727.22,FALSE
3129,Town B,16,0.36,14.83,9.51,High risk zone,Expansion of public transportation system,TRUE,6658.88,32.23,Decreasing,Excellent,793977.32,FALSE
4439,Suburb D,45,0.23,50.23,9.65,High risk zone,Expansion of public transportation system,FALSE,9320.73,72.22,Increasing,Average,222141.65,TRUE
8470,Suburb D,34,0.2,6.23,0.87,Moderate risk zone,Construction of new schools,FALSE,4743.04,80.62,Decreasing,Good,827041.61,TRUE
8674,Neighborhood F,23,0,57.66,6.92,High risk zone,Renovation of public parks,TRUE,6192.2,75.08,Increasing,Good,328328.29,FALSE
